卡牌种类,ID,卡牌名字,生命,攻击,费用,效果,效果值,描述
Minion,0,士兵,1,1,1,,,最基础的战士
Minion,1,处刑者,4,8,6,,,冷酷无情的行刑者
Minion,2,守墓人,5,1,3,,,默默守护亡者之地
Minion,3,窃贼,1,4,2,,,身手敏捷的暗影刺客
Minion,4,无为剑士,2,2,2,,,以无招胜有招
Minion,5,见习猎手,1,3,2,,,初出茅庐的猎人
Minion,6,贪欲的王,10,6,8,,,权力与财富永远不够
Minion,7,流浪骑士,1,1,1,,,四海为家的游侠
Minion,8,掠夺者,2,4,3,,,劫掠是他的本能
Minion,9,波波卡尔,4,4,5,,,神秘东方的强者
Minion,10,暗巷商人,3,3,3,,,什么都卖，不问来路
Minion,11,狂热的教徒,3,4,4,,,为信仰赴死在所不惜
Minion,12,祭司,7,6,7,,,掌握生死的仪式者
Minion,13,查理,10,7,8,,,无人能挡的战场传说
Minion,14,慷慨的领主,4,4,3,,,以德服人的贵族
Minion,15,帝国处刑官,8,8,7,,,帝国意志的执行者
Minion,16,小猫,1,0,1,,,看起来无害
Minion,17,盗墓者,4,3,4,,,古墓中的秘密猎手
Minion,18,窃贼雷诺,8,6,8,,,江湖上最狡猾的盗贼
Minion,19,狱卒,2,2,2,,,牢房的冷酷看守
Minion,20,狮鹫骑士,3,6,4,,,驾驭神兽的精英骑士
Minion,21,腐朽女巫,2,2,3,,,以黑暗魔法侵蚀一切
Minion,22,咏唱者,1,2,1,,,以歌声唤醒古老力量
Minion,23,米米,1,1,2,,,可爱但不好惹
Minion,24,可可,2,2,3,,,米米的好伙伴
Minion,25,米米·可可,8,8,9,,,合体后战力惊人
Minion,26,异能术士,9,9,10,,,掌握未知力量的强者
Minion,27,救济的圣女,6,5,4,,,以慈悲之心庇护众生
Minion,28,成都王,4,4,3,,,天府之地的霸主
Spell,29,抽取,,,1,DrawCard,1,抽取一张牌
